TA,PtP Name,City (Reev),Address,ZipCode,Total Acquisition
Karagiannis Dimitris,ΠΑΠΑΓΕΩΡΓΙΟΥ ΧΡΗΣΤΟΣ,Athina,4 Platia Sintagmatos,105 63,=VLOOKUP(B65;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΠΑΠΑΔΟΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ,Chania,130 Efedron Polemiston,731 36,=VLOOKUP(B66;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,KOLONAKI NOBACCO SHOP,Athina,17 Irodotou Str.,10674,=VLOOKUP(B67;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,OMONOIA NOBACCO SHOP,Athina,65 Panepistimiou,10564,=VLOOKUP(B68;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,SYNTAGMA NOBACCO SHOP,Athina,14 Voulis,10563,=VLOOKUP(B69;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΓΙΩΤΗΣ ΕΛΒΙΝ,Athina,105 Panormou,115 24,=VLOOKUP(B70;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ΣΙΑΠΛΑΟΥΡΑΣ ΓΕΩΡΓΙΟΣ,Athina,Platia Merkouri,118 52,=VLOOKUP(B71;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,ACROPOL KIOSKYS ΕΕ,Athina,10 Rovertou Galli,117 42,=VLOOKUP(B72;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,PICK IT ΓΕΩΡΓΙΟΣ ΠΕΤΡΗΣ,Athina,23 Lamias,11523,=VLOOKUP(B73;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,Η ΑΓΟΡΑ DCT ΙΚΕ,Athina,23 Georgiou Vlachou,115 25,=VLOOKUP(B74;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
Karagiannis Dimitris,Π. ΝΤΟΥΝΙΑΣ & ΣΙΑ ΕΕ,Athina,93 Ippokratous,106 80,=VLOOKUP(B75;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
